 Problem ,Equation,Solution,Class
सयान्ती के पास 125 बल्ब  का  एक  समूह हैं। उसने ऐसे 196 समूह बनाए। कुल बल्ब कितने हुए?,125 * 196,24500,Multiplication
सयान्ती के पास 540 चश्मा हैं। उसने इन्हें 12 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने चश्मा मिले?,540 ÷ 12,45,Division
रश्मिता के पास 8 मिक्सर हैं। उसने ऐसे 196 समूह बनाए। कुल मिक्सर कितने हुए?,8 * 196,1568,Multiplication
नमिता के पास 70 चाबी हैं और जितेश के पास 108 चाबी हैं। दोनों के पास मिलाकर कितने चाबी हैं?,70 + 108,178,Addition
"नीरा के पास 32 दरवाज़ा थे, उसने 26 दरवाज़ा दे दिए। अब उसके पास कितने दरवाज़ा बचे?",32 - 26,6,Subtraction
विनीता के पास 7 हेलमेट हैं और प्रांजल के पास 191 हेलमेट हैं। दोनों के पास मिलाकर कितने हेलमेट हैं?,7 + 191,198,Addition
मेघा के पास 980 गेंद हैं। उसने इन्हें 20 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने गेंद मिले?,980 ÷ 20,49,Division
सयान्ती के पास 46 माउस हैं। उसने ऐसे 40 समूह बनाए। कुल माउस कितने हुए?,46 * 40,1840,Multiplication
"प्रकृति के पास 101 रोशनी थे, उसने 63 रोशनी दे दिए। अब उसके पास कितने रोशनी बचे?",101 - 63,38,Subtraction
प्रभा के पास 510 खिड़की हैं। उसने इन्हें 17 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने खिड़की मिले?,510 ÷ 17,30,Division
"निम्मी के पास 171 खिलौना थे, उसने 143 खिलौना दे दिए। अब उसके पास कितने खिलौना बचे?",171 - 143,28,Subtraction
रश्मिता के पास 7 हैंगर हैं। उसने इन्हें 1 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने हैंगर मिले?,7 ÷ 1,7,Division
नमिता के पास 168 कागज़ हैं। उसने ऐसे 167 समूह बनाए। कुल कागज़ कितने हुए?,168 * 167,28056,Multiplication
अलिशा के पास 38 मापक पट्टी हैं और जितेश के पास 189 मापक पट्टी हैं। दोनों के पास मिलाकर कितने मापक पट्टी हैं?,38 + 189,227,Addition
हर्षिता के पास 306 झूला हैं। उसने इन्हें 18 दोस्तों में बराबर बाँट दिया। हर दोस्त को कितने झूला मिले?,306 ÷ 18,17,Division
चर्मिता के पास 149 फ्रिज हैं। उसने ऐसे 148 समूह बनाए। कुल फ्रिज कितने हुए?,149 * 148,22052,Multiplication
"अलिशा के पास 110 ईयरफोन थे, उसने 30 ईयरफोन दे दिए। अब उसके पास कितने ईयरफोन बचे?",110 - 30,80,Subtraction
"सयान्ती के पास 191 तकिया थे, उसने 56 तकिया दे दिए। अब उसके पास कितने तकिया बचे?",191 - 56,135,Subtraction
संध्या के पास 197 मिक्सर हैं। उसने ऐसे 112 समूह बनाए। कुल मिक्सर कितने हुए?,197 * 112,22064,Multiplication
